[ 2025-04-06 13:19:28,915 ] 16 root - INFO - Initiate the data ingestion
[ 2025-04-06 13:19:31,180 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-06 13:19:31,180 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-06 13:19:31,181 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-06 13:19:31,262 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-06 13:19:31,273 ] 21 root - INFO - Initiate the data Validation
[ 2025-04-06 13:19:31,310 ] 32 root - INFO - Required number of columns:2
[ 2025-04-06 13:19:31,310 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-06 13:19:31,311 ] 32 root - INFO - Required number of columns:2
[ 2025-04-06 13:19:31,311 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-06 13:19:31,634 ] 23 root - INFO - data Validation Completed
[ 2025-04-06 13:19:31,634 ] 26 root - INFO - data Transformation started
[ 2025-04-06 13:19:31,634 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-06 13:19:31,634 ] 65 root - INFO - Starting data transformation
[ 2025-04-06 13:19:31,673 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-04-06 13:19:31,673 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-06 13:19:31,698 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-06 13:19:31,704 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-06 13:19:31,704 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-06 13:19:31,709 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-06 13:19:31,711 ] 30 root - INFO - data Transformation completed
